bld_name,nn_MAPE,nn_RMSPE
combined/1008_EE_CSE,3.0667889644499,3.7092550247246656
combined/1108_Chem,5.70050795073279,6.795346682358661
combined/1111_Fluke,4.323454338392575,5.218995114023127
combined/1126_Meany,16.98370065667181,20.91243048604745
combined/1143_McMahon,9.464846481908724,11.431440823028625
combined/1147_Haggett,8.232661245245776,9.967175156193255
combined/1158_McCarty,8.576535864922734,10.400541503611812
combined/1163_Port_Bay,4.642193846783952,5.728269808956954
combined/1195_Hec_Ed,11.709097885492115,14.115477141019868
combined/1201_Gowen,12.11251320991225,14.611531862714099
combined/1275_Pool,13.95780723163313,17.247377362174753
combined/1306_Physics,4.254872681000131,5.09665687468009
combined/1316_BAEEC,10.224365460904707,12.540452064367718
combined/1357_Fish_Sc,6.272281871023888,7.615070124501966
combined/4057_Foege,4.6938646531714125,5.55705915329467
