bld_name,nn_MAPE,nn_RMSPE
combined/1008_EE_CSE,2.9888489560503047,3.7071946478686564
combined/1108_Chem,5.0051205609986384,6.169972812191671
combined/1111_Fluke,4.387146595486183,5.377506511700897
combined/1126_Meany,15.995476533793742,19.91056190350717
combined/1143_McMahon,9.222457401586778,11.236380872500744
combined/1147_Haggett,7.843219700044772,9.574997995581292
combined/1158_McCarty,7.743790741830625,9.526011463239897
combined/1163_Port_Bay,4.388679239528457,5.484309614125013
combined/1195_Hec_Ed,11.123884946179402,13.536036187944422
combined/1201_Gowen,10.521471881159707,13.14143270237995
combined/1275_Pool,12.28194064984669,15.552897797733769
combined/1306_Physics,4.0128504339904385,4.957972682529161
combined/1316_BAEEC,9.097272974559917,11.216916306479968
combined/1357_Fish_Sc,5.0747912847829895,6.314666676119102
combined/4057_Foege,4.36441005396045,5.302308661344425
