bld_name,nn_MAPE,nn_RMSPE
combined/1008_EE_CSE,8.827746981449787,10.986188935308588
combined/1108_Chem,9.990642003688391,12.516862035697434
combined/1111_Fluke,9.608555706879033,11.982726927617243
combined/1126_Meany,18.803608013352243,24.257098399851426
combined/1143_McMahon,14.262924626587225,17.48583850485742
combined/1147_Haggett,12.638863319729525,15.566168903240628
combined/1158_McCarty,12.836770610635435,15.939320700335026
combined/1163_Port_Bay,9.27511656955798,11.680790207841758
combined/1195_Hec_Ed,14.715849568978792,18.115661668937516
combined/1201_Gowen,15.206755585058916,19.004349751186393
combined/1275_Pool,16.674093182426493,21.850999080906607
combined/1306_Physics,9.113988322248863,11.433501776861448
combined/1316_BAEEC,13.774264890205481,17.37995727448
combined/1357_Fish_Sc,10.801587212799511,13.359885329315698
combined/4057_Foege,10.569789732362825,12.853417459882479
